MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
366998510,31/12/2020 22:42,37.82186,-122.31121,0,-67.1,103,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 17:57,37.82185,-122.31118,0,105.8,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 18:01,37.82184,-122.31117,0,-141.8,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 20:20,37.82186,-122.31119,0,4.8,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 12:37,37.80623,-122.34192,0,-49.8,220,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 00:16,37.91695,-122.41418,8.7,148,145,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 11:13,37.80624,-122.34193,0,149.3,217,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 15:04,37.82187,-122.31121,0,-135.4,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 00:27,37.90597,-122.38966,6.7,91.1,81,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,A
366998510,31/12/2020 07:18,38.04143,-122.13431,0.2,-176.7,309,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,A
366998510,31/12/2020 01:34,37.90805,-122.38649,3.5,14.5,2,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,A
366998510,31/12/2020 09:43,37.90336,-122.41496,11,166,159,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 09:13,37.99017,-122.41592,10.5,-196.1,207,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 01:36,37.90837,-122.38714,1.1,-127.7,278,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 07:13,38.04138,-122.13446,0.1,-168.3,318,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 13:51,37.81309,-122.32061,0.1,-129.5,126,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 02:32,37.91164,-122.40623,9.7,-99.1,305,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 15:53,37.82184,-122.3112,0,-57.3,104,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 17:16,37.82185,-122.3112,0,122.5,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 20:15,37.82186,-122.31119,0,-94.7,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 20:53,37.82185,-122.31119,0,-197.3,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 08:16,38.06061,-122.23614,10.8,-132.6,269,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 19:21,37.82185,-122.3112,0,-132.9,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 10:00,37.85804,-122.38823,11.3,148.1,142,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 04:49,38.03993,-122.13779,0,-157.5,228,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 18:16,37.82186,-122.3112,0,3.9,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 01:49,37.90837,-122.38716,0,-161.1,267,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 05:50,38.03992,-122.1378,0,-158.9,231,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 08:09,38.05882,-122.20727,10.9,-130.9,272,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 04:33,38.04158,-122.17193,9.6,140.1,133,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 13:37,37.81339,-122.32544,1.5,85,34,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 09:58,37.8621,-122.39138,11.3,149.1,143,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 19:24,37.82185,-122.31119,0,-116.1,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 14:06,37.81307,-122.32064,0.1,-184.7,120,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 04:31,38.04396,-122.1745,9.6,139.3,133,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 22:58,37.82185,-122.3112,0,-134.3,102,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 20:44,37.82186,-122.31119,0,-77.9,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 20:01,37.82186,-122.3112,0,-192.9,105,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 06:21,38.03992,-122.1378,0,-166.6,232,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 21:41,37.81115,-122.3286,0,11.2,183,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 11:22,37.80625,-122.34192,0,-148.3,217,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 19:06,37.82185,-122.31119,0,-165.3,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 00:33,37.9042,-122.37603,5.8,105.6,92,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,A
366998510,31/12/2020 23:10,37.82185,-122.31122,0,-115.4,104,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 12:29,37.80623,-122.34192,0,-89.9,217,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 12:04,37.80622,-122.34194,0,2.1,216,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 20:32,37.82185,-122.31117,0,-161.9,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 12:10,37.80624,-122.34194,0,173.3,218,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 02:19,37.90837,-122.38715,0,-157.4,265,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 03:13,38.00898,-122.39346,9.3,48.1,42,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 13:01,37.80403,-122.36665,6.4,-83.5,296,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,A
366998510,31/12/2020 11:52,37.80624,-122.34194,0,93.4,216,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 03:21,38.02225,-122.37311,9.4,46.1,42,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 20:11,37.82184,-122.31118,0,-81.1,107,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 17:42,37.82185,-122.31119,0,183,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 05:15,38.03994,-122.13782,0,-101.8,230,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 01:07,37.90792,-122.36332,0,-190,253,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 07:31,38.04142,-122.13431,0,-198.6,318,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 16:17,37.82188,-122.31118,0,-118.6,106,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
366998510,31/12/2020 11:29,37.80625,-122.34193,0,-103.5,217,LIBERTY,IMO7717626,WDC2845,31,29,9,3.9,31,B
